response,predictor,mode,best_power_base,best_power_final,overall_spearman_r,overall_spearman_p,overall_spearman_ci,overall_pearson_r,overall_pearson_p,overall_pearson_ci,AIC_base,AIC_final,BIC_base,BIC_final,logLik_base,logLik_final,MSE_base,MSE_final,R2_base,R2_final,delta_AIC,delta_BIC,delta_R2,delta_MSE,beta_cont,beta_cont_p,std_beta_cont,gauss_mu,gauss_sigma,Intercept_base,Intercept_base_p,time_pow_base,time_pow_base_p,Intercept_final,Intercept_final_p,time_pow_final,time_pow_final_p,cont_effect_final,cont_effect_final_p,infarct_volume_max_imp_effect_final,infarct_volume_max_imp_effect_final_p,csf_ratio_min_imp_effect_final,csf_ratio_min_imp_effect_final_p,csf_ratio_fu24_imp_effect_final,csf_ratio_fu24_imp_effect_final_p,ct_factor_1_imp_effect_final,ct_factor_1_imp_effect_final_p
log_nfl,infarct_volume_max_imp,gaussian,0.65,0.55,0.393836953,7.85E-06,"[0.23, 0.53]",0.331740395,0.000201523,"[0.16, 0.48]",299.9897072,291.7709433,311.1728694,305.7498961,-145.9948536,-140.8854717,0.256213528,0.246665196,0.858229066,0.863512456,8.218763877,5.422973331,0.00528339,0.009548332,0.006270913,0.000867218,0.359460551,5,2.5,3.027248495,2.33E-63,0.747107856,3.04E-45,2.945465146,1.53E-68,0.697479179,6.52E-18,0.006270913,0.000867218,0.006270913,0.000867218,,,,,,
log_nfl,csf_ratio_min_imp,gaussian,0.65,0.75,-0.381976594,1.54E-05,"[-0.52, -0.22]",-0.318494823,0.000370493,"[-0.47, -0.15]",299.9897072,290.3376293,311.1728694,304.316582,-145.9948536,-140.1688146,0.256213528,0.240807526,0.858229066,0.866753687,9.652077957,6.856287411,0.008524621,0.015406002,-2.137586326,0.000253334,-0.356662088,5,2.5,3.027248495,2.33E-63,0.747107856,3.04E-45,3.211763199,2.05E-80,1.048013738,6.23E-18,-2.137586326,0.000253334,,,-2.137586326,0.000253334,,,,
log_nfl,csf_ratio_fu24_imp,gaussian,0.65,0.75,-0.380119625,1.70E-05,"[-0.52, -0.22]",-0.290098891,0.001248041,"[-0.45, -0.12]",299.9897072,288.021314,311.1728694,302.0002667,-145.9948536,-139.010657,0.256213528,0.232747513,0.858229066,0.871213544,11.96839327,9.172602722,0.012984478,0.023466015,-2.486748588,6.27E-05,-0.380145738,5,2.5,3.027248495,2.33E-63,0.747107856,3.04E-45,3.231619535,1.34E-80,1.138248215,1.34E-17,-2.486748588,6.27E-05,,,,,-2.486748588,6.27E-05,,
log_nfl,ct_factor_1_imp,gaussian,0.65,0.65,0.385094509,1.29E-05,"[0.22, 0.53]",0.311630063,0.00050252,"[0.14, 0.46]",299.9897072,287.0861084,311.1728694,301.0650611,-145.9948536,-138.5430542,0.256213528,0.233208324,0.858229066,0.870958563,12.90359883,10.10780829,0.012729497,0.023005204,0.592088809,7.44E-05,0.41651448,5,2.5,3.027248495,2.33E-63,0.747107856,3.04E-45,3.030051783,6.65E-75,0.776662723,1.58E-52,0.592088809,7.44E-05,,,,,,,0.592088809,7.44E-05
